ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.44040
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.68190
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717
ADK,Adak Airport,Adak,AK,USA,51.87796,-176.64603
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.36996,-81.96450
AKN,King Salmon Airport,King Salmon,AK,USA,58.67680,-156.64922
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.21937,-101.70593
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619
APN,Alpena County Regional Airport,Alpena,MI,USA,45.07807,-83.56029
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
ATW,Appleton International Airport,Appleton,WI,USA,44.25741,-88.51948
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987
AVL,Asheville Regional Airport,Asheville,NC,USA,35.43619,-82.54181
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72427
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23488,-85.55206
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323
BET,Bethel Airport,Bethel,AK,USA,60.77978,-161.83800
BFL,Meadows Field,Bakersfield,CA,USA,35.43360,-119.05677
BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.20848,-75.97961
BGR,Bangor International Airport,Bangor,ME,USA,44.80744,-68.82814
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56294,-86.75355
BIL,Billings Logan International Airport,Billings,MT,USA,45.80766,-108.54286
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.50942,-94.93372
BLI,Bellingham International Airport,Bellingham,WA,USA,48.79275,-122.53753
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.47799,-88.91595
BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818
BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.56444,-116.22278
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95083,-94.02069
BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA,31.25903,-81.46631
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49486,-67.12944
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA,46.39786,-94.13723
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.90683,-97.42586
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.28545,-156.76600
BTM,Bert Mooney Airport,Butte,MT,USA,45.95480,-112.49746
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316,-91.14963
BTV,Burlington International Airport,Burlington,VT,USA,44.47300,-73.15031
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.35850
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.17540,-76.66820
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.77690,-111.15301
CAE,Columbia Metropolitan Airport,Columbia,SC,USA,33.93884,-81.11954
CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.91631,-81.44247
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70097,-113.09858
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183,-145.47765
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,USA,41.78016,-124.23653
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA,35.03527,-85.20379
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA,38.13864,-78.45286
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051
CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA,41.88459,-91.71087
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.25075,-84.47239
CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.12723,-117.27873
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.84940
CLL,Easterwood Airport,College Station,TX,USA,30.58859,-96.36382
